pedido_id,fecha,producto,categoria,cantidad,precio_unitario,metodo_pago,estado,tiempo_entrega_min
P0001,2026-08-03,Jugo natural,Bebida,1,7000,Transferencia,Entregado,45
P0002,2026-08-17,Pizza personal,Comida,1,23000,Efectivo,Entregado,25
P0003,2026-08-03,Hamburguesa clásica,Comida,1,18000,Efectivo,Entregado,30
P0004,2026-08-19,Pizza personal,Comida,2,22000,Efectivo,Entregado,33
P0005,2026-08-19,Ensalada,Comida,3,16000,Transferencia,Entregado,22
P0006,2026-08-18,Gaseosa,Bebida,1,6000,Efectivo,Entregado,30
P0007,2026-08-04,Café,Bebida,2,5000,Transferencia,Cancelado,
P0008,2026-08-19,Café,Bebida,2,5000,Transferencia,Entregado,29
P0009,2026-08-23,Ensalada,Comida,1,14000,Efectivo,Cancelado,
P0010,2026-08-22,Hamburguesa clásica,Comida,2,18000,Transferencia,Entregado,14
P0011,2026-08-15,Gaseosa,Bebida,1,6000,Tarjeta,En preparación,
P0012,2026-08-03,Café,Bebida,1,5000,Transferencia,Entregado,39
P0013,2026-08-15,Café,Bebida,2,5000,tarjeta,Entregado,35
P0014,2026-08-06,Pizza personal,Comida,1,23000,Tarjeta,Entregado,24
P0015,2026-08-22,Sándwich de pollo,Comida,2,16000,Efectivo,Entregado,28
P0016,2026-08-23,Helado,Postre,2,9000,Tarjeta,Entregado,34
P0017,2026-08-03,Brownie,Postre,2,8000,Tarjeta,Entregado,27
P0018,2026-08-23,Brownie,Postre,3,7000,Tarjeta,Entregado,27
P0019,2026-08-01,Brownie,Postre,1,8000,Tarjeta,Entregado,16
P0020,2026-08-16,Jugo natural,Bebida,1,8000,Efectivo,Entregado,34
P0021,2026-08-13,Ensalada,Comida,1,15000,Tarjeta,Entregado,31
P0022,2026-08-13,Brownie,Postre,1,8000,Transferencia,entregado,32
P0023,2026-08-09,Café,Bebida,1,5000,Transferencia,Cancelado,
P0024,2026-08-05,Gaseosa,Bebida,1,6000,Efectivo,Entregado,16
P0025,2026-08-01,Sándwich de pollo,Comida,1,16000,Tarjeta,Entregado,44
P0026,2026-08-05,Sándwich de pollo,Comida,1,16000,Tarjeta,Entregado,31
P0027,2026-08-11,Helado,Postre,1,10000,Efectivo,En preparación,
P0028,2026-08-22,Helado,Postre,2,8000,Transferencia,Entregado,26
P0029,2026-08-04,Gaseosa,Bebida,2,6000,Tarjeta,Entregado,48
